Record ID,Venue Name,Venue Type,Primary Tenant / Team,Sponsor Name,Country,City,State / Prefecture,Ownership Type,Opened Year,Capacity,Web Source URL (added),Research Notes (added)
SBJ-FULL-011,Adirondack Bank Center at the Utica Memorial Auditorium,Arena / Indoor Venue,"Utica University Pioneers, Utica Comets, Utica Jr. Comets, Utica City FC",Adirondack Bank,USA,Utica,New York,Public — Upper Mohawk Valley Memorial Auditorium Authority,1960.0,3815.0,https://en.wikipedia.org/wiki/Adirondack_Bank_Center,
SBJ-FULL-012,AdventHealth Stadium,Stadium,Rome Emperors,AdventHealth,USA,Rome,Georgia,Public — City of Rome,2003.0,5105.0,https://en.wikipedia.org/wiki/AdventHealth_Stadium,
SBJ-FULL-013,AdventHealth Training Center,Practice / Training Facility,Orlando Magic,AdventHealth,USA,Orlando,Florida,Private — Orlando Magic / RDV Sports,2022.0,,https://www.nba.com/magic/news/orlando-magic-and-adventhealth-unveil-state-of-the-art-adventhealth-training-center-20220831,
SBJ-FULL-014,Adventist Health Arena,Arena / Indoor Venue,Stockton Kings,Adventist Health,USA,Stockton,California,Public — City of Stockton,2005.0,12000.0,https://en.wikipedia.org/wiki/Adventist_Health_Arena,
SBJ-FULL-015,Advocate Center,Practice / Training Facility,Chicago Bulls,Advocate Health,USA,Chicago,Illinois,Private — Chicago Bulls (Reinsdorf),2014.0,,https://www.hok.com/projects/view/advocate-center-chicago-bulls-practice-facility/,
SBJ-FULL-016,Aggie Ascent,,UC Davis,ELS Architecture and Urban Design,USA,Davis,California,"Public — University of California, Davis",2007.0,10743.0,https://en.wikipedia.org/wiki/Aggie_Stadium_(UC_Davis),
SBJ-FULL-017,Alaska Airlines Arena at Hec Edmundson Pavilion,Arena / Indoor Venue,Washington Huskies,Alaska Airlines,USA,Seattle,Washington,Public — University of Washington,1927.0,10000.0,https://en.wikipedia.org/wiki/Hec_Edmundson_Pavilion,
SBJ-FULL-018,Alaska Airlines Center,Arena / Indoor Venue,Alaska Anchorage Seawolves,Alaska Airlines,USA,Anchorage,Alaska,Public — University of Alaska Anchorage,2014.0,5000.0,https://en.wikipedia.org/wiki/Alaska_Airlines_Center,
SBJ-FULL-019,Alaska Airlines Field at Husky Stadium,Ballpark / Field,Washington Huskies,Alaska Airlines,USA,Seattle,Washington,Public — University of Washington,1920.0,70138.0,https://en.wikipedia.org/wiki/Husky_Stadium,
SBJ-FULL-020,Albertsons Stadium,Stadium,"Boise State Broncos, Famous Idaho Potato Bowl",Albertsons,USA,Boise,Idaho,Public — Boise State University,1970.0,36363.0,https://en.wikipedia.org/wiki/Albertsons_Stadium,
SBJ-FULL-021,Alerus Center,Arena / Indoor Venue,North Dakota Fighting Hawks,Alerus Financial,USA,Grand Forks,North Dakota,Public — City of Grand Forks,2001.0,12283.0,https://en.wikipedia.org/wiki/Alerus_Center,
SBJ-FULL-022,Alico Arena,Arena / Indoor Venue,FGU Eagles,Alico,USA,Fort Myers,Florida,Public — Florida Gulf Coast University,2002.0,4633.0,https://en.wikipedia.org/wiki/Alico_Arena,
SBJ-FULL-023,Allegacy Federal Credit Union Stadium,Stadium,Wake Forest,Allegacy Federal Credit Union,USA,Winston-Salem,North Carolina,Private — Wake Forest University,1968.0,31500.0,https://en.wikipedia.org/wiki/Allegacy_Federal_Credit_Union_Stadium,
SBJ-FULL-024,Allegiant Stadium,Stadium,"Las Vegas Raiders, UNLV Rebels, Las Vegas Bowl",Allegiant Air,USA,Las Vegas (Paradise),Nevada,Public — Las Vegas Stadium Authority,2020.0,65000.0,https://en.wikipedia.org/wiki/Allegiant_Stadium,"Stadium is in Paradise, NV (Las Vegas metro). Cap 65,000, expandable to ~72,000."
SBJ-FULL-025,Alliant Energy Center,Arena / Indoor Venue,"Madison Capitols, UW Badgers",Alliant Energy,USA,Madison,Wisconsin,Public — Dane County,1967.0,10231.0,https://en.wikipedia.org/wiki/Alliant_Energy_Center,
SBJ-FULL-026,Alliant Energy Power House,,"Cedar Rapids Titans/River Kings, Iowa Raptors",Alliant Energy,USA,Cedar Rapids,Iowa,Public — City of Cedar Rapids,1979.0,6900.0,https://en.wikipedia.org/wiki/Alliant_Energy_PowerHouse,
SBJ-FULL-027,Allianz Field,Ballpark / Field,"Minnesota United FC, Minnesota United FC 2",Allianz,USA,Saint Paul,Minnesota,Private — Minnesota United FC,2019.0,19400.0,https://en.wikipedia.org/wiki/Allianz_Field,
SBJ-FULL-028,Allstate Arena,Arena / Indoor Venue,Chicago Wolves,Allstate,USA,Rosemont,Illinois,Public — Village of Rosemont,1980.0,16692.0,https://en.wikipedia.org/wiki/Allstate_Arena,
SBJ-FULL-029,Alro Steel Championship Field,Ballpark / Field,Meijer Sports Complex,Alro Steel Foundation,USA,Rockford,Michigan,Public — West Michigan Sports Commission,2026.0,,https://www.westmisports.com/news/alro-steel-foundation-donates-15-million-to-meijer-sports-complex-expansion,Softball field within Meijer Sports Complex; opened with 2026 expansion; no fixed seating published.
SBJ-FULL-030,Alumni Coliseum at Baptist Health Arena,Arena / Indoor Venue,Eastern Kentucky Colonels,Baptist Health (Kentucky and Southern Indiana),USA,Richmond,Kentucky,Public — Eastern Kentucky University,1963.0,6500.0,https://en.wikipedia.org/wiki/Alumni_Coliseum,
SBJ-FULL-031,Amerant Bank Arena,Arena / Indoor Venue,Florida Panthers,Amerant Bank,USA,Sunrise,Florida,Public — Broward County,1998.0,19250.0,https://en.wikipedia.org/wiki/Amerant_Bank_Arena,
SBJ-FULL-032,America First Ballpark,Ballpark / Field,Salt Lake Bees,America First Credit Union,USA,South Jordan (Daybreak),Utah,Private — Miller Sports + Entertainment,2025.0,8000.0,https://www.mlb.com/milb/news/featured/visit-the-ballpark-at-america-first-square-home-of-the-salt-lake-bees,
SBJ-FULL-033,America First Event Center,Arena / Indoor Venue,Southern Utah Thunderbirds,America First Credit Union,USA,Cedar City,Utah,Public — Southern Utah University,1985.0,5300.0,https://en.wikipedia.org/wiki/America_First_Event_Center,
SBJ-FULL-034,America First Field,Ballpark / Field,Real Salt Lake,America First Credit Union,USA,Sandy,Utah,Private — Miller Sports + Entertainment,2008.0,20213.0,https://en.wikipedia.org/wiki/America_First_Field,
SBJ-FULL-035,American Airlines Center,Arena / Indoor Venue,"Dallas Mavericks, Dallas Stars",American Airlines,USA,Dallas,Texas,Public — City of Dallas,2001.0,19200.0,https://en.wikipedia.org/wiki/American_Airlines_Center,
SBJ-FULL-036,American Bank Center Arena,Arena / Indoor Venue,"Texas A&M–Corpus Christi Islanders, Corpus Christi Tritons",American Bank,USA,Corpus Christi,Texas,Public — City of Corpus Christi,2004.0,10000.0,https://en.wikipedia.org/wiki/American_Bank_Center,
SBJ-FULL-037,American Family Field,Ballpark / Field,Milwaukee Brewers,American Family Insurance,USA,Milwaukee,Wisconsin,Public — Southeast Wisconsin Professional Baseball Park District,2001.0,41900.0,https://en.wikipedia.org/wiki/American_Family_Field,
SBJ-FULL-038,American Family Fields of Phoenix,Ballpark / Field,"Milwaukee Brewers, ACL Brewers",American Family Insurance,USA,Phoenix,Arizona,Public — City of Phoenix,1998.0,7000.0,https://en.wikipedia.org/wiki/American_Family_Fields_of_Phoenix,Originally opened 1998 as Maryvale Baseball Park; renamed 2019.
SBJ-FULL-039,American State Bank Sports Complex,Sports Complex,Dordt University and the City of Sioux Center,American State Bank,USA,Sioux Center,Iowa,Public — Dordt University & City of Sioux Center,2023.0,,https://www.dordt.edu/about-dordt/offices-and-services/american-state-bank-sports-complex,
SBJ-FULL-040,Amica Mutual Pavilion,,"Providence Bruins, Providence Friars",Amica Insurance,USA,Providence,Rhode Island,Public — Rhode Island Convention Center Authority,1972.0,11075.0,https://en.wikipedia.org/wiki/Amica_Mutual_Pavilion,
SBJ-FULL-041,Amway Stadium,Stadium,proposed USL team,Amway,USA,Grand Rapids,Michigan,Public — Grand Rapids-Kent County Convention/Arena Authority,,8500.0,https://en.wikipedia.org/wiki/Amway_Stadium,"Under construction (began 2025), expected to open ~2027; capacity planned ~8,500."
SBJ-FULL-042,Angel of the Winds Arena,Arena / Indoor Venue,"Everett Silvertips, Tilted Thunder Rail Birds, Washington Wolfpack",Angel of the Winds Casino Resort,USA,Everett,Washington,Public — Everett Public Facilities District,2003.0,8149.0,https://en.wikipedia.org/wiki/Angel_of_the_Winds_Arena,
SBJ-FULL-043,Arvest Ballpark,Ballpark / Field,Northwest Arkansas Naturals,Arvest Financial,USA,Springdale,Arkansas,Public — City of Springdale,2008.0,7305.0,https://en.wikipedia.org/wiki/Arvest_Ballpark,
SBJ-FULL-044,Ascension Saint Thomas Sports Park,Practice / Training Facility,Tennessee Titans,Saint Thomas Midtown Hospital,USA,Nashville,Tennessee,Private — Tennessee Titans,1999.0,,https://www.tennesseetitans.com/news/titans-practice-facility-renamed-saint-thomas-sports-park-10455494,
SBJ-FULL-045,AT&T Field,Ballpark / Field,Chattanooga Lookouts,AT&T,USA,Chattanooga,Tennessee,Public — City of Chattanooga,2000.0,6382.0,https://en.wikipedia.org/wiki/AT%26T_Field,Lookouts moved to new Erlanger Park (opened Apr 2026). AT&T Field (opened 2000) now retired.
SBJ-FULL-046,AT&T Stadium,Stadium,"Dallas Cowboys, Cotton Bowl Classic",AT&T,USA,Arlington,Texas,Public — City of Arlington,2009.0,80000.0,https://en.wikipedia.org/wiki/AT%26T_Stadium,"Cap 80,000 standard, expandable to ~100,000 for marquee events."
SBJ-FULL-047,Atlantic Health Jets Training Center,Practice / Training Facility,New York Jets,Atlantic Health,USA,Florham Park,New Jersey,Private — New York Jets,2008.0,,https://en.wikipedia.org/wiki/Atlantic_Health_Jets_Training_Center,
SBJ-FULL-048,Atlantic Union Bank Center,Arena / Indoor Venue,James Madison Dukes,Atlantic Union Bank,USA,Harrisonburg,Virginia,Public — James Madison University,2020.0,8500.0,https://en.wikipedia.org/wiki/Atlantic_Union_Bank_Center,
SBJ-FULL-049,Atrium Health Ballpark,Ballpark / Field,Kannapolis Cannon Ballers,Atrium Health (Advocate Health),USA,Kannapolis,North Carolina,Public — City of Kannapolis,2021.0,4930.0,https://en.wikipedia.org/wiki/Atrium_Health_Ballpark,
SBJ-FULL-050,Atrium Health Training Facility,Practice / Training Facility,Carolina Panthers,Atrium Health,USA,Charlotte,North Carolina,Private — Tepper Sports & Entertainment,,,https://www.panthers.com/news/carolina-panthers-unveil-atrium-health-training-facility-naming-partnership,Naming partnership announced 2026; facility expected to open ~2027.
